d,n,m,i,time
0.2,20,10,26,0.147926811
0.2,20,10,27,0.147986944
0.2,20,10,28,0.147446682
0.2,20,10,29,0.132913378
0.2,20,20,1,0.262716911
0.2,20,20,0,0.337665021
0.2,20,20,2,0.281908358
0.2,20,20,3,0.24546591
0.2,100,30,26,16.973727976
0.2,20,20,4,0.23757056
0.2,20,20,5,0.239468719
0.2,20,20,7,0.242044689
0.2,20,20,6,0.278278048
0.2,20,20,8,0.24435167
0.2,20,20,10,0.243402306
0.2,20,20,9,0.274656325
0.2,20,20,11,0.247140525
0.2,20,20,12,0.213833284
0.2,20,20,14,0.231583036
0.2,20,20,13,0.350849951
0.2,20,20,15,0.277594629
0.2,20,20,16,0.264853656
0.2,20,20,17,0.231302258
0.2,20,20,18,0.286173966
0.2,20,20,19,0.281229082
0.2,20,20,20,0.323638563
0.2,20,20,21,0.25301903
0.2,20,20,22,0.240487339
0.2,20,20,23,0.241489472
0.2,20,20,24,0.270147775
0.2,20,20,25,0.309221388
0.2,20,20,26,0.233738995
0.2,100,30,27,17.302270346
0.2,20,20,27,0.25033881
0.2,20,20,28,0.265794375
0.2,20,20,29,0.264444902
0.2,20,30,0,0.345182371
0.2,20,30,1,0.397581982
0.2,20,30,3,0.341741842
0.2,20,30,2,0.399913868
0.2,20,30,4,0.36644046
0.2,20,30,5,0.419441853
0.2,20,30,7,0.356507011
0.2,20,30,6,0.389269998
0.2,100,30,24,24.669053378
0.2,20,30,8,0.397498441
0.2,20,30,10,0.33536204
0.2,20,30,9,0.340583231
0.2,20,30,12,0.390019292
0.2,20,30,11,0.437684758
0.2,20,30,13,0.345240254
0.2,20,30,14,0.399359081
0.2,20,30,15,0.449597592
0.2,20,30,16,0.394581405
0.2,20,30,17,0.370500599
0.2,20,30,18,0.311187791
0.2,20,30,19,0.347749317
0.2,20,30,20,0.309928401
0.2,20,30,21,0.33129376
0.2,20,30,23,0.305963766
0.2,20,30,22,0.471192559
0.2,20,30,26,0.338822786
0.2,20,30,24,0.40079001400000003
