r,n,m,i,bs,jri
0.2,100,20,14,0.19,0.006135034556087188
0.2,100,20,15,0.21,0.008208399787347156
0.2,100,20,16,0.23,0.005645933014354067
0.2,100,20,17,0.22,0.005879851143009038
0.2,100,20,18,0.16,0.007325890483785221
0.2,100,20,19,0.18,0.007485380116959065
0.2,100,20,20,0.18,0.006018075491759703
0.2,100,20,21,0.22,0.006879319510898458
0.2,100,20,22,0.18,0.008165869218500797
0.2,100,20,23,0.18,0.006454013822434874
0.2,100,20,24,0.17,0.005093035619351409
0.2,100,20,25,0.18,0.009962785752259437
0.2,100,20,26,0.2,0.0069856459330143545
0.2,100,20,27,0.19,0.008187134502923975
0.2,100,20,28,0.22,0.006220095693779904
0.2,100,20,29,0.19,0.005337586390217969
0.2,100,30,0,0.23,0.005196795541623128
0.2,100,30,1,0.21,0.005343086032741205
0.2,100,30,2,0.19,0.004493207941483803
0.2,100,30,3,0.2,0.004263322884012539
0.2,100,30,4,0.23,0.005928247997213514
0.2,100,30,5,0.27,0.006931382793451759
0.2,100,30,6,0.23,0.004061302681992337
0.2,100,30,7,0.23,0.005586903517938001
0.2,100,30,8,0.24,0.006004876349703936
0.2,100,30,9,0.24,0.004123998606757228
0.2,100,30,10,0.24,0.004416579588993382
0.2,100,30,11,0.24,0.004785788923719958
0.2,100,30,12,0.23,0.004757924068268896
0.2,100,30,13,0.2,0.005677464298153953
0.2,100,30,14,0.27,0.005726227795193312
0.2,100,30,15,0.23,0.005949146638801812
0.2,100,30,16,0.2,0.004235458028561477
0.2,100,30,17,0.2,0.004353883664228492
0.2,100,30,18,0.2,0.006199930337861373
0.2,100,30,19,0.22,0.006067572274468826
0.2,100,30,20,0.24,0.005189829327760362
0.2,100,30,21,0.32,0.006060606060606061
0.2,100,30,22,0.25,0.005795889933820968
0.2,100,30,23,0.3,0.006896551724137931
0.2,100,30,24,0.22,0.004312086381051898
0.2,100,30,25,0.23,0.0063949843260188086
0.2,100,30,26,0.18,0.004660397074190178
0.2,100,30,27,0.25,0.005092302333681645
0.2,100,30,28,0.26,0.006269592476489029
0.2,100,30,29,0.23,0.005747126436781609
0.2,10,5,0,0.3,0.03888888888888889
0.2,10,5,1,0.2,0.011111111111111112
0.2,10,5,2,0.1,0
0.2,10,5,3,0.2,0.027777777777777776
0.2,10,5,4,0.2,0.03333333333333333
0.2,10,5,5,0.3,0.027777777777777776
